SMILES,pIC50,QED,SA_Score,Mol_Weight,LogP,TPSA,Lipinski_Violations,Toxicophore,Comment,combined_score
O=C(NNc1ccc(Cl)cc1)c1ccc(Cl)cc1,6.817758417855728,0.8411232662905306,5.699999999999999,281.142,3.750300000000002,41.13,0,1,Passed all filters with QED optimization,8.50000495043679
COc1cc2c(cc1O)CCc1cc(O)cc(OC)c1-2,6.733716983745681,0.8822060428316348,5.0,272.3,2.880600000000001,58.92,0,0,Passed all filters with QED optimization,8.49812906940895
COc1cc(/C=C/C(=O)O)cc(OC)c1O,6.970526254712621,0.7578877168072972,5.9,224.212,1.5071999999999999,75.99000000000001,0,1,Passed all filters with QED optimization,8.486301688327215
C/C(=C\c1ccc(N(C)C)cc1)c1cc(O)cc(O)c1,6.815125330346614,0.8344933716308008,4.999999999999999,269.344,3.724300000000003,43.7,0,0,Passed all filters with QED optimization,8.484112073608216
N#Cc1ccc2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,6.785684749185775,0.8490692215318761,5.0,269.17799999999994,2.3495799999999996,70.32000000000001,0,1,Passed all filters with QED optimization,8.483823192249528
O=C(O)C1=Cc2cc(Cl)cc(Cl)c2O[C@@H]1C(F)(F)F,6.766104173443765,0.8579696127581123,4.8999999999999995,313.058,3.784700000000001,46.53,0,1,Passed all filters with QED optimization,8.48204339895999
COc1ccc2cc(CCS(C)(=O)=O)ccc2c1,6.77840398286198,0.85154620115324,5.9,264.34599999999995,2.4355,43.370000000000005,0,0,Passed all filters with QED optimization,8.48149638516846
C[C@@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1,6.756624025523857,0.8606604129123266,6.0,248.32199999999995,2.5782000000000007,57.53,0,1,Passed all filters with QED optimization,8.47794485134851
CN1CC(c2ccc(F)cc2)=C(c2ccccc2)O1,6.836429983996204,0.8130333479480844,4.8,255.292,3.5710000000000024,12.47,0,0,Passed all filters with QED optimization,8.462496679892373
COc1ccc2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,6.655057817372849,0.8997664527542448,5.4,274.19399999999996,2.4865000000000004,55.760000000000005,0,1,Passed all filters with QED optimization,8.454590722881338
Cc1c(Cl)cc2c(c1C)OC(C(F)(F)F)C(C(=O)O)=C2,6.7343654894934435,0.8593028488679403,4.699999999999999,306.667,3.748140000000001,46.53,0,1,Passed all filters with QED optimization,8.452971187229323
CCc1ccc(-c2ccc(O)c(OC)c2)o1,6.732518658115523,0.8595931819559747,4.999999999999999,218.25199999999995,3.223200000000001,42.6,0,0,Passed all filters with QED optimization,8.451705022027472
COc1ccccc1/C=C/c1ccc(=O)[nH]n1,6.692745745225822,0.8730926600520852,5.199999999999999,228.251,1.9488999999999996,54.980000000000004,0,0,Passed all filters with QED optimization,8.438931065329992
CC(=O)c1nnn(-c2ccc(F)cc2)c1C,6.979135863195446,0.724765873511985,4.7,219.219,1.9174200000000001,47.78,0,0,Passed all filters with QED optimization,8.428667610219415
C1=C(c2ccc3c(c2)OCO3)CCc2ccccc21,6.898778239655019,0.7637893389822024,4.3999999999999995,250.29699999999997,3.9021000000000026,18.46,0,0,Passed all filters with QED optimization,8.426356917619422
C[C@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1,6.704411256161192,0.8606604129123266,6.0,248.32199999999995,2.5782000000000007,57.53,0,1,Passed all filters with QED optimization,8.425732081985846
CC(C(=O)O)c1ccc(=O)n(C(F)F)c1,6.754908000610946,0.8326499119390813,5.1000000000000005,217.17099999999996,1.4315,59.3,0,1,Passed all filters with QED optimization,8.42020782448911
Nc1cc(-c2ccco2)nn1-c1ccc(F)cc1,6.914060519860347,0.7524826704749503,5.2,243.24099999999999,2.853600000000001,56.98,0,0,Passed all filters with QED optimization,8.419025860810248
Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,6.811987253517129,0.8032006897987243,4.1,250.29399999999995,2.48576,66.76,0,1,Passed all filters with QED optimization,8.418388633114578
CCOC(=O)c1c(O)ccc2ccn(C)c12,6.83936217941564,0.7863949265487681,4.8,219.23999999999998,2.0606,51.46,0,1,Passed all filters with QED optimization,8.412152032513177
COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1,6.7109445121524045,0.8496677559492319,5.7,256.301,3.5798000000000023,38.69,0,0,Passed all filters with QED optimization,8.410280024050868
Cn1ccc2ccc(C(=O)OCC(F)(F)F)c(O)c21,6.682230833576012,0.855577970429302,5.4,273.2099999999999,2.603000000000001,51.46,0,1,Passed all filters with QED optimization,8.393386774434616
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,6.743066749488225,0.8215995486924976,5.300000000000001,206.28499999999997,3.073200000000001,37.3,0,1,Passed all filters with QED optimization,8.38626584687322
O=C(O)C1=Cc2c(Cl)ccc(Cl)c2OC1C(F)(F)F,6.657228714978062,0.8579696127581123,4.8999999999999995,313.058,3.784700000000001,46.53,0,1,Passed all filters with QED optimization,8.373167940494286
Cc1ccccc1/C=C/C1=NNC(S)CC1,6.858140008360692,0.7526723241017635,4.3,232.352,3.003520000000001,24.39,0,0,Passed all filters with QED optimization,8.36348465656422
COc1nnc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)s1,6.592728882350186,0.8839752160980695,5.7,320.458,4.514300000000004,55.24000000000001,0,0,Passed all filters with QED optimization,8.360679314546324
CC(C(=O)O)c1ccn(C(F)F)c(=O)c1,6.691925509889051,0.8326499119390813,5.1000000000000005,217.17099999999996,1.4315,59.3,0,1,Passed all filters with QED optimization,8.357225333767214
C#Cc1ccc2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,6.763748191787318,0.795716784691755,4.8,268.18999999999994,2.4592,46.53,0,1,Passed all filters with QED optimization,8.355181761170828
